ID,Tên,Mô tả ngắn,Mô tả,Giá bán thường,Danh mục,Từ khóa,Hình ảnh
21,"Màn hình Viewsonic 31.5""VX3276Smhd- 2K LED IPS","-Thiết kế cao cấp
-Công nghệ SuperClear IPS
-Độ phân giải WQHD ấn tượng
-Hiển thị lên đến 1 tỷ màu
-Chế độ tối ưu hình ảnh ViewMode
-Kết nối linh hoạt
-Thân thiện với mắt của bạn
-Mức tiêu thụ năng lượng thấp
-Âm thanh mạnh mẽ","-Kiểu màn hình Màn hình rộng 
-Kích thước màn hình 31.5Inch IPS 
-Độ sáng 250cd/m2 
-Tỷ lệ tương phản 1200: 1 
-Độ phân giải Full HD (1920x1080) 
-Thời gian đáp ứng  3ms 
-Góc nhìn 178°/178° 
-Tần số quét 60HZ 
-Cổng giao tiếp VGA, DVI, HDMI, Display Port",6990000,Màn hình ,"Màn hình, Mã sản phẩm: MOVI087,Viewsonic31.5",VX3276Smhd- 2KLED IPS.jpg
22,"Màn hinh Samsung 32""C32JG50QEEXXV Curved 144Hz","-Hình Ảnh Mở Rộng Với Màn Hình WQHD
-Độ Phân Giải WQHD
-Tần Số Quét 144Hz Vượt Trội
-Độ Cong Hoàn Hảo Dễ Chịu Cho Mắt
-Nhiều Chế Độ Hiển Thị
-Bảng Điều Khiển OSD Theo Phong Cách Game
-Tỷ Lệ Tương Phản Ấn Tượng 3000:1","-Kiểu màn hình Màn hình cong        
-Kích thước màn hình 32"" 
-Độ sáng 300cd/m2 
-Tỷ lệ tương phản 3,000:1(Typ.) 
-Độ phân giải 2,560 x 1,440 
-Thời gian đáp ứng 4(GTG) 
-Góc nhìn 178°(H)/178°(V) 
-Cổng giao tiếp HDMI, Display Port,  ",13499000,Màn hình ,"Màn hình, Mã sản phẩm: MOSA173,Samsung 32""C32JG50QEEXXV",C32JG50QEEXXVCurved144Hz.jpg
23,"Màn hình Asus 31.5""XG32VQ Curve 144Hz Aura Sync","-mang lại sự cân bằng hoàn hảo giữa trải nghiệm Gaming mượt mà
-chất lượng hình ảnh rực rỡ, sống động
-Tần số quét cao, lên đến 144Hz
-Công nghệ Adaptive-Sync (FreeSync)
-Viền màn hình siêu mỏng
-Khả năng kết nối mạnh mẽ
-Công nghệ Ficker-Free","-Kích Thước Màn Hình 31.5” 
-Độ Sáng Màn Hình 300 cd/m² 
-Tỉ Lệ Tương Phản Tĩnh 3000:1 
-Độ Phân Giải Màn Hình 2560x1440@144hz 
-Thời Gian Đáp Ứng 4 ms (Gray to Gray) 
-Hỗ trợ màu 16.7 million colors 
-Góc nhìn 178/178",13990000,Màn hình ,"Màn hình, Mã sản phẩm: MOAS112,  Asus 31.5""XG32VQ Curve 144Hz ",XG32VQCurve144HzAuraSync.jpg
24,"Màn hình MSI 27""G27C2 Curved 144Hz","-144Hz tần số quét + 1ms thời gian đáp ứng
-Giảm mỏi mắt
-Màu sắc trung thực
-Góc nhìn rộng 178 độ 
-Công nghệ Anti-Flicker
-Hiển thị FPS và hồng tâm
-Tối ưu với máy bàn MSI Gaming ","-Kích Thước Màn Hình 27"" (69cm)
-Độ Sáng Màn Hình 300 cd / m2
-Tỉ Lệ Tương Phản Động MEGA 3000:1
-Độ Phân Giải Màn Hình 1920 x 1080
-Thời Gian Đáp Ứng 1ms (MPRT)
-Hỗ trợ màu NTSC / SRGB 85% / 110%,16.7M
-Góc nhìn 178°
-Tín hiệu đầu vào 1x DP(1.2) 1x HDMI(1.4) 1x DVI
-Mức Tiêu Thụ̣ Điện 45W
-Trọng Lượng 5.8kg / 7.8 kg
-Loa n/a
-Kích thước 619mm x 451mm x 239mm",7299000,Màn hình ,"Màn hình, Mã sản phẩm: MOMS002, MSI 27""G27C2",G27C2Curved144Hz.jpg
25,"Màn hinh LG 27""27GK750F-B LED 240Hz","-Tần số quét 240Hz
-1ms Motion Blur Reduction
-Công nghệ AMD FreeSync™
-Tùy chỉnh môi trường chơi game
-Các tính năng chơi game nâng cao","-Kích thước màn hình 27inch 
-Độ phân giải Full HD (1920x1080) 
-Tỉ lệ 16:9 
-Tấm nền màn hình TN 
-Độ sáng 400cd (điển hình) / 320cd (tối thiểu) 
-Màu sắc hiển thị 16,7 triệu màu 
-Độ tương phản 1000:1 
-Tần số quét 240Hz 
-Cổng kết nối HDMI®-in, D-Sub, USB",12399000,Màn hình ,"Màn hình, Mã sản phẩm: MOLG144, LG 27""27GK750F-B",27GK750F-BLED240Hz.jpg
26,"Màn hình LCD Asus 34"" MX34VQ","-Độ cong hoàn hảo cho thị giác đắm chìm 
-QHD siêu rộng cho những hình ảnh vô cùng chi tiết 
-Tỷ lệ tương phản cao cho màu sắc sống động 
-Âm thanh cao cấp 
-Tích hợp bộ sạc không dây Qi","- Màn hiển thị UWQHD 34 inch với góc nhìn rộng 178° trong thiết kế không khung viền cho vẻ đẹp rực rỡ cạnh-sát-cạnh
- Bộ loa stereo 8 Watt với công nghệ Harman Kardon® Audio và ASUS SonicMaster
- Các cổng HDMI và DP cho kết nối đa thiết bị
- Sạc không dây Qi (5W/1A) được tích hợp vào đế với ánh sáng cực quang được bật khi sạc các thiết bị hỗ trợ Qi
- Chứng nhận TUV Rheinland cho công nghệ Khử nhấp nháy và Ánh sáng Xanh dương Thấp, đảm bảo một trải nghiệm xem thoải mái",22990000,Màn hình ,"Màn hình, Mã sản phẩm: 1704870, LCD Asus 34"" MX34VQ",MX34VQ.jpg
27,Màn hình LCD Lenovo 21.5'' LI2215s,"-Sản phẩm kết nối thông dụng
-Tiết kiệm năng lượng, thân thiện với môi trường
","- Kích thước: 21.5"" - Độ phân giải: FHD 1920 x 1080 (16:9)
- Tấm nền: WLED Anti-Glare - Góc nhìn: 90/65 độ (H/V)
- Tần số quét: 60Hz - Độ trễ: 5 ms (grey to grey)
- Cổng kết nối: VGA (kèm cáp VGA)",1990000,Màn hình ,"Màn hình, Mã sản phẩm: 1805149,  LCD Lenovo 21.5'' LI2215s",LI2215s.jpg
28,"Màn hình LCD Acer 27"" XB271H Predator","-XB271H có dáng vẻ rất “Hardcore” như 1 cỗ máy Robot với tông màu chủ đạo Đỏ - Đen.
-Viền màn hình dày tạo cảm giác chắc chắc. 
- Kích thước màn hình 27 inch FullHD có tỉ lệ 16:9 phổ biến và tương thích tốt với các game hiện nay.
-Phía sau màn hình được trang trí bằng các đường xẻ dọc và logo Acer. 
- Khe thoát nhiệt và loa được hướng lên trên
-Các cổng kết nối được giấu ở phía dưới. Màn hình có khả năng xoay ngang trái - phải 30 độ.

","- Độ phân giải: FullHD 1920x1080.
- Tấm nền: Twisted Nematic Film (TN).
- Tốc độ quét : 144 Hz, tối đa 170 Hz.
- Độ sáng: 300 cd/m2.
- Thời gian phản hồi: 1 ms GTG.
- Màu sắc hiển thị: 16.7 triệu màu.
- Công nghệ đồng bộ: NVIDIA G-SYNC™.",11703000,Màn hình ,"Màn hình, Mã sản phẩm: 1704296, LCD Acer 27"" XB271H Predator",XB271H Predator.jpg
29,"Màn hình LCD Haier 18.5"" H1865V","-Chất lượng hình ảnh vượt trội
-Tiết kiệm năng lượng, thân thiện với môi trường
-Sản phẩm kết nối thông dụng","-- 18.5'' HD (1360x768)
- Độ tương phản 2.000.000:1
- Cổng kết nối: VGA (Kèm cáp VGA)",1500000,Màn hình ,"Màn hình, Mã sản phẩm: 1601907, LCD Haier 18.5"" H1865V",H1865V.jpg
30,"Màn hình LCD Philips 27"" 278E8QDSW","-Thiết kế màn hình cong mang đến trải nghiệm sống động hơn
-Dải màu Ultra Wide-Color rộng hơn cho hình ảnh sống động
- Màn hình VA mang đến hình ảnh tuyệt vời với góc nhìn rộng
-Mắt ít mệt mỏi hơn với Công nghệ không nháy hình
- Màn hình HD đầy đủ 16:9 cho hình ảnh chi tiết sinh động
- HDMI sẵn sàng cho giải trí HD đầy đủ
- SmartImage Lite để có được cài đặt hình ảnh tối ưu dễ dàng


","- Kích cỡ: 27""
- Độ cong: 1800R
- Độ phân giải: Full HD 1920x1080
- Tần số quét: 60Hz
- Góc nhìn: 178 độ
- Độ sáng: 250 cd/m2
- Độ tương phản tĩnh: 3.000:1
- Số lượng màu hiển thị: 16.7 triệu
- Không gian màu hỗ trợ: sRGB 130%, NTSC 104%
- Cổng kết nối: VGA, DVI-D, HDMI
- Công nghệ khác: FreeSync, Flicker Free",5250000,Màn hình ,"Màn hình, Mã sản phẩm: 1800089, LCD Philips 27"" 278E8QDSW",278E8QDSW.jpg
