ID,Tên,Mô tả ngắn,Mô tả,Giá bán thường,Danh mục,Từ khóa,Hình ảnh
11,Chuột có dây Prolink G9003,"-Kiểu dáng ngầu
- Đèn led thay đổi 7 màu
-4 mức DPI, 6 nút bấm phù hợp cho game thủ
-Độ bền cao lên tới 5 triệu lần bấm mỗi nút","-Thiết kế Fulvus dành cho người thuận tay phải
-kích thước chuột không quá lớn gíup game thủ có thể cầm vừa tay
-Không Bluetooth, Sử dụng cổng giao tiếp USB
-DPI:800/1200/1600/2400 dpi
-Màu sắc :Đen
-Bảo hành 12 tháng",250000,Chuột,"Chuột,chuột quang có dây,Prolink",CHUOT-CO-DAY-PROLINK-G9003.jpg
12,Apple Chuột không dây Magic Mouse 2 White,"-Thiết kế nhỏ gọn
- Màu trắng tinh khiết mang lại nét thanh lịch,sang trọng","-Bề mặt đa cảm ứng, sạc lightning nhanh chóng 
-Trọng lượng nhẹ giúp bạn có thể thao tác dễ dàng, không gây cảm giác mỏi tay
-Kết nối bluetooth, lightning port, Wireless nhanh chóng và ổn định
-Kích thước:11x6x22 mm
-Trọng lượng :99gr
-Thời lượng pin :1Tháng
-Bảo hành :12 tháng",2499000,Chuột,"Chuột,chuột quang không dây,Apple",CHUOT-KHONG-DAY-MAGIC-MOUSE.jpg
13,Chuột chơi game Logitech G703 LIGHTSPEED Wireless,"- Thiết kế đẹp mắt
- Chất liệu gia công cao cấp 
- Tích hợp nhiều tính năng vượt trội","-Màu sắc:Đen và Trắng
-6 nút lập trình: 1 nút chuột trái; 1 nút chuột phải; 2 nút bên sườn trái; 1 nút tùy chỉnh và 1 nút cuộn chuột
-Phần logo thương hiệu ở thân chuột Logitech G703 LIGHTSPEED Wireless được bố trí đèn LED chiếu sáng tạo điểm nhấn
-chuột chơi game Logitech G703 LIGHTSPEED Wireless gồm có: 1 tài liệu hướng dẫn sử dụng; 1 module 10g; 1 đầu thu không dây USB và 1 dây sạc
-DPI tối đa 12000
-Chiều dài dây 1.8m
-Tuổi thọ nút bấm 50 triệu click
-Loại kết nối Wireless
-Bảo hành 12 tháng",2099000,Chuột,"Chuột,chuột quang có dây,chơi game,Logitech",chuotlogitech.jpg
14,"
Chuột máy tính Razer Lancehead Tournament Edition Quartz Edition - Ambidextrous","- Thiết kế cân đối tinh tế với 2 lớp cao su chống trượt
- Led Razer Chroma™ (RGB) với 16.8 triệu màu tuỳ chỉnh","- Cảm biến quang học lên tới 16000 DPI
- Tốc độ quét tối đa: 450 inch/s
- 9 nút bấm có thể lập trình độc lập
- Tần số quét 1000 Hz
- Tuỳ chỉnh với Razer Synapse 3 (Beta)
- Kích thước: 117 mm / 4.6 in (Length) x 71 mm / 2.79 in (Width) x 38 mm / 1.49 in (Height)
- Khối lượng: 104 g / 0.23 lbs
-Bảo hành 12 tháng",2089000,Chuột,"Chuột,Chuột quang có dây,Razer",chuotrazer.jpg
15,Chuột máy tính Asus ROG Gladius II,"- Thiết kế công thái học tối ưu cùng lớp cao su chống trượt dày.
- Hoa văn Maya cổ được áp dụng vào thiết kế mẫu mã cho lớp cao su ở cuộn và bên hông tạo dấu ấn đặc biệt.","- Sử dụng cảm biến quang học gaming cao cấp Pixart PMW3360
- 3 vùng led RGB Aura Sync siêu sáng có thể tuỳ chỉnh (scroll, logo, edge)
- Tốc độ lên tới 12000 DPI, tần số quét 1000Hz, độ trễ 1ms
- Bộ nhớ trong của chuột (memory-onboard) có thể lưu giữ 3 bộ thiết lập, chuyển đổi nhanh bằng tổ hợp nút bấm
- Switch Omron ở 2 nút bấm chính có thể tháo rời và thay thế bằng 2 switch dự trữ đi kèm chuột
- Vỏ nhựa ở 2 nút bấm chính tách khối cho cảm giác đàn hồi tốt và nhẹ
- Dây tín hiệu USB có thể tháo rời, 2 dây dài (bọc dù) và dây ngắn (bọc cao su) phục vụ kết nối tiện lợi với PC hoặc thiết bị di động
- Phụ kiện đặc biệt : Sticker logo Asus mạ kẽm
- Kiểu kết nối: Có dây
- Kích thước: 126 x 67 x 45mm
- Trọng lượng: 110g khi không gắn dây cáp
- Mức DPI tối đa: 12000
- Dây cáp: 2m dây cáp USB bọc dù, 1m dây cáp USB dạng thường
- Switch: 2 switch Omron đến từ Nhật Bản và 2 switch tặng kèm trong hộp
-Bảo hành 12 tháng",1099000,Chuột,"Chuột,chuột quang có dây,Asus",AsusROGGladiusII.jpg
16,Chuột máy tính SteelSeries Rival 600,"- Thiết kế bất đối xứng cho người thuận tay phải
- Hệ thống 2 cảm biến riêng biệt, với 1 cảm biến về lift-off-distance","- Cảm biến quang học SteelSeries TrueMove 3
- DPI tối đa 12.000, gia tốc tối đa 50G
- Hệ thống tạ thông minh, Led RGB 16.8 triệu màu
-Bảo hành 12 tháng",2080000,Chuột,"Chuột,chuột quang có dây,game thủ,SteelSeries",steelseries-rival.jpg
17,Chuột không dây Genius NX 7010,"-Thiết kế đẹp mắt, kiểu dáng nhỏ gọn thoải mái khi sử dụng
-Kết nối với máy tính hoặc tivi thông qua cổng gắn USB
-Tương thích với nhiều thiết bị và hệ điều hành","-Sử dụng được tốt trên mặt gỗ, kim loại...
-Có thể tùy chọn độ phân giải dpi 800 1200 hay 1600 (thông qua phần mềm)
-Sử dụng được cho hệ điều hành Windows và MacOS
-Thao tác được với tay trái hoặc phải bằng ứng dụng điều chỉnh riêng
-Bảo hành 12 tháng",160000,Chuột,"Chuột,chuột quang không dây,Genius",chuot-khong-day-genius.jpg
18,Chuột không dây Zadez M356,"-kích thước vừa tay
-Kiểu dáng đẹp mắt,nhỏ gọn
-Kết nối với máy tính hoặc tivi thông qua cổng gắn USB","-Có 2 màu sắc trắng và đen để bạn lựa chọn theo ý thích.
-Thời gian sử dụng pin hơn 2 tháng.
-Độ phân giải quang học 1000 dpi giúp chuột hoạt động nhanh nhạy.
-Sử dụng được cho hệ điều hành Windows và MacOS.
-Bảo hành 12 tháng",150000,Chuột,"Chuột,Chuột quang không dây,Zader",chuot-khong-day-zadez.jpg
19,Chuột không dây Anitech MW315,"-Thiết kế vừa vặn, thao tác dễ dàng
-Các phím bấm đàn hồi tốt, con lăn chuột nhạy
-Kết nối với máy tính hoặc tivi thông qua cổng gắn USB","-Thương hiệu uy tín đến từ đất nước Thái Lan.
-Kiểu dáng đẹp mắt với vỏ ngoài màu bạc.
-Chuột tự động tắt khi không sử dụng trong 5 phút, chạm bất kỳ phím nào để dùng trở lại.
-Thời gian sử dụng pin có thể lên đến 6 tháng.
-Sử dụng được cho hệ điều hành Windows và MacOS.
-Bảo hành 12 tháng",160000,Chuột,"Chuột,chuột quang không dây,Anitech",chuot-khong-day-anitech.jpg
20,Chuột Gấp không dây Detek,"-Công nghệ không dây 2.4 GHz cho khoảng cách sử dụng lên đến 10 mét
-Thiết kế thanh lịch, tiện dụng, hoàn hảo và phù hợp với cả laptop hay PC
-Dễ cài Đặt, dễ sử dụng.","-Kết nối không dây USB 2.4 GHz
-Độ phân giải 1200 DPI
-Phạm vi hoạt động: 10m
-Pin: AAA (Khi pin yếu, đèn LED sẽ báo đèn đỏ)
-Hệ điều hành tương thích: Windows 2000, tôi, XP, Vista, Win 7 và Mac
-Màu sắc: Đen
-Kích thước khi mở rộng (D x R x C cm): 11 x 6 x 3
-Kích thước khi gấp lại (D x R x C cm): 8 x 6 x 3
-Tự động tắt khi bị gấp lại
-Bộ thu phát đặt bên dưới đáy chuột
-Bảo hành 12 tháng",158000,Chuột,"Chuột,chuột quang không dây,Detek",chuot-gap-khong-day-den-detek.jpg
