ID,Tên,Mô tả ngắn,Mô tả,Giá bán thường,Danh mục,Từ khóa,Hình ảnh
1,Bàn phím Logitech Gaming G213,Bàn phím cơ ,Bàn phím sử dụng nút bấm cao su (rubber dome) không gây tiếng ồn.,990000,Bàn phím,"Bàn phím, bàn phím cơ, logitech",logitech_gaming_g213.png
,,,"- Led RGB 16,8 triệu màu tuỳ chỉnh bằng phần mềm Logitech Gaming Software.",,,,
,,,- Thiết kế kê tay liền phím chống mỏi.,,,,
,,,- Tích hợp các phím đa chức năng.,,,,
,,,- Nút khoá phím Window (window lock) phục vụ chơi game tránh bấm nhầm.,,,,
,,,- Tần số quét / tốc độ phản hồi 1000Hz / 1ms.,,,,
,,,- Layout ANSI tiêu chuẩn.,,,,
,,,,,,,
2,Bàn phím bán cơ Newmen GM100S USB Full-size LED xuyên chữ,Bàn phím cơ ,- Bàn phím cao su thiết kế chống nước.,399000,Bàn Phím,"Bàn phím, bàn bán phím cơ, Newmen",bàn phím bán cơ Newmen.jpg
,,,- Dây cáp bọc dù chống đứt.,,,,
,,,- Ký tự được in laser bền bỉ.,,,,
,,,- Hệ thống đèn nền 7 màu tuỳ chỉnh.,,,,
,,,- Tích hợp các chức năng multimedia và khoá phím windows phục vụ chơi game.,,,,
,,,,,,,
3,Bàn phím SteelSeries Apex 100,Bàn phím cơ ,- Bàn phím cao su với cảm ứng điện dung tuổi thọ lên tới 20 triệu lượt bấm.,,,,
,,,- Toàn bộ đèn nền màu xanh dương trên từng phím.,,,,
,,,- 24 phím anti-ghosting.,,,,
,,,"- Tích hợp các phím đa phương tiện trên hàng F, kích hoạt cùng phím FN (logo Steelseries).",899000,Bàn Phím,"Bàn phím, SteelSerires",steelseries-apex-100-gaming.png
,,,- Tích hợp chức năng khoá phím Window phục vụ chơi game,,,,
,,,,,,,
4,Bàn phím cơ Corsair K63 Wireless,Bàn phím cơ chuyên cho game thủ,- Loại switch : CherryMX Red,2990000,Bàn Phím,"Bàn phím, bàn phím cơ, Corsair",Corsair K63.jpg
,,,- Khối lượng: 1.09 kg,,,,
,,,"- Kết nối: 2.4Ghz Wireless, Bluetooth 4.2 + LE",,,,
,,,- Tốc độ phản hồi : 1000hz/1ms,,,,
,,,- Thiết kế : Tenkeyless,,,,
,,,- Phụ kiện đi kèm : Kê tay,,,,
,,,,,,,
5,Bàn phím cơ Fuhlen Eraser Kailh,Bàn phím cơ ,- Công nghệ: switch cơ quang học.,799000,Bàn Phím,"Bàn phím, bàn phím cơ, Fuhlen",Fuhlen Eraser.jpg
,,,- Số phím 104 phím,,,,
,,,- Kích thước: 443 x 220.5 x 41mm,,,,
,,,- Chuẩn kết nối: Usb 2.0,,,,
,,,- Switch: Blue,,,,
,,,"- Hỗ trợ phím: Khóa window, anti ghost, tăng giảm độ sáng và chuyển động led, nhiều chế độ chuyển led, multi media",,,,
,,,- Led 7 màu,,,,
,,,,,,,
6,Bàn phím Mitsumi (KFK-EA4XT),Bàn phím văn phòng,- Màu Đen,180000,Bàn Phím,"Bàn phím, bàn phím văn phòng, Mitsumi",Mitsumi.jpg
,,,- Kết nối USB 2.0,,,,
,,,- Chất liệu Nhựa,,,,
,,,- Kích thước sản phẩm (D x R x C cm) 30x10x2,,,,
,,,- Trọng lượng (KG) 0.2,,,,
,,,- Loại bàn phím Wired,,,,
,,,,,,,
7,Bàn phím Asus ROG Strix Flare,Bàn phím cơ chuyên cho game thủ,- Các switch phím cơ Cherry MX RGB được sản xuất tại Đức mang lại cảm giác cơ học hài hòa,3990000,Bàn Phím,"Bàn phím, bàn phím cơ, bàn phím chơi game, ASUS",ASUS.jpg
,,,- công nghệ chiếu sáng Aura Sync RGB,,,,
,,,"- Các bàn phím đa phương tiện chuyên dụng và núm xoay điều chỉnh âm lượng, một cổng USB để kết nối dễ dàng và tấm đệm cổ tay mềm có thể tháo rời.",,,,
,,,,,,,
8,Bàn phím Dell USB,Bàn phím văn phòng,- Hãng Dell,160000,Bàn Phím,"Bàn phím, bàn phím văn phòng, Dell",Dell.png
,,,- Thiết kế đơn giản,,,,
,,,- Chất liệu gia công cao cấp,,,,
,,,,,,,
9,Bàn phím Genius 110X USB,Bàn phím văn phòng,"- Bàn phím giá rẻ, chức năng ổn định",110000,Bàn Phím,"Bàn phím, bàn phím văn phòng, Genius",Genius.jpg
,,,- Thiết kế tiêu chuẩn fullsize,,,,
,,,- Kết nối USB 2.0,,,,
,,,- Kích thước 162x456x25.5 mm,,,,
,,,- Bảo hành 12 tháng,,,,
,,,,,,,
10,Bàn phím Razer BlackWidow X Chroma RGB,Bàn phím cơ chuyên cho game thủ,- Thiết kế đẹp mắt - LED RGB tùy biến,3890000,Bàn Phím,"Bàn phím, bàn phím cơ, bàn phím chơi game, Razer","
Razer BlackWidow X.jpg"
,,,- Dây USB chắc chắn và bền bỉ,,,,
,,,- Kết cấu phù hợp cho chơi các game FPS / MOBA,,,,
,,,- Switch cơ học của Razer được tinh chỉnh nhằm đem lại tốc độ gõ và độ phải hồi tốt nhất.,,,,
